id,dia,reef,site,transect,observer,team,night,depth,hc,habitat
12,35,Undine,2,1,HS/IM,1,0,3,24,lagoon
13,40,Undine,2,1,HS/IM,1,0,3,24,lagoon
14,40,Undine,2,1,HS/IM,1,0,3,24,lagoon
15,30,Undine,2,1,HS/IM,1,0,3,24,lagoon
16,35,Undine,2,1,HS/IM,1,0,3,24,lagoon
17,35,Undine,2,1,HS/IM,1,0,3,24,lagoon
11,35,Undine,2,4,HS/IM,1,0,3,24,lagoon
12,35,Undine,2,4,HS/IM,1,0,3,24,lagoon
13,40,Undine,2,4,HS/IM,1,0,3,24,lagoon
14,40,Undine,2,4,HS/IM,1,0,3,24,lagoon
15,30,Undine,2,4,HS/IM,1,0,3,24,lagoon
16,35,Undine,2,4,HS/IM,1,0,3,24,lagoon
17,35,Undine,2,4,HS/IM,1,0,3,24,lagoon
19,45,Undine,3,1,HS/IM,1,0,6,23,lagoon
20,35,Undine,3,1,HS/IM,1,0,6,23,lagoon
21,38,Undine,3,1,HS/IM,1,0,6,23,lagoon
22,-999,Undine,3,1,HS/IM,1,0,6,23,lagoon
24,40,Undine,3,1,HS/IM,1,0,6,23,lagoon
25,35,Undine,3,1,HS/IM,1,0,6,23,lagoon
26,-999,Undine,3,1,HS/IM,1,0,6,23,lagoon
27,35,Undine,3,1,HS/IM,1,0,6,23,lagoon
18,40,Undine,3,3,HS/IM,1,0,6,23,lagoon
20,35,Undine,3,3,HS/IM,1,0,6,23,lagoon
21,38,Undine,3,3,HS/IM,1,0,6,23,lagoon
22,-999,Undine,3,3,HS/IM,1,0,6,23,lagoon
24,40,Undine,3,3,HS/IM,1,0,6,23,lagoon
25,35,Undine,3,3,HS/IM,1,0,6,23,lagoon
26,-999,Undine,3,3,HS/IM,1,0,6,23,lagoon
27,35,Undine,3,3,HS/IM,1,0,6,23,lagoon
18,40,Undine,3,6,HS/IM,1,1,6,23,lagoon
22,-999,Undine,3,6,HS/IM,1,1,6,23,lagoon
24,40,Undine,3,6,HS/IM,1,1,6,23,lagoon
25,35,Undine,3,6,HS/IM,1,1,6,23,lagoon
801,-999,Undine,3,6,HS/IM,1,1,6,23,lagoon
2,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
5,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
17,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
21,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
51,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
56,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
62,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
63,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
91,-999,Rudder,1,2,KJ/ZC,2,1,2,35,crest
92,35,Rudder,1,2,KJ/ZC,2,1,2,35,crest
93,30,Rudder,1,2,KJ/ZC,2,1,2,35,crest
94,30,Rudder,1,2,KJ/ZC,2,1,2,35,crest
95,30,Rudder,1,2,KJ/ZC,2,1,2,35,crest
96,35,Rudder,1,2,KJ/ZC,2,1,2,35,crest
97,35,Rudder,1,2,KJ/ZC,2,1,2,35,crest
